Date,Country,Unfavourable Prospects,Contributing Factors,Changes from Last Report
05-2008,180,123,'',''
05-2008,204,123,'',''
05-2008,226,122,"Adverse weather, conflicts",''
05-2008,23,123,'',''
05-2008,231,123,'',''
05-2008,242,123,'',''
05-2008,33,123,'',''
05-2008,43,123,'',''
05-2008,49,123,'',''
05-2008,50,123,'',''
05-2008,59,123,'',''
05-2008,67,123,'',''
05-2008,68,123,'',''
05-2008,73,123,'',''
05-2008,77,123,'',''
05-2008,79,122,Insufficient rainfall ,''
05-2008,133,122,Insufficient rainfall,''
05-2008,142,123,'',''
05-2008,144,123,'',''
05-2008,165,123,'',''
05-2008,171,123,'',''
05-2008,175,123,'',''
05-2008,221,123,'',''
05-2008,235,123,'',''
05-2008,248,122,Insufficient rainfall,''
05-2008,253,123,'',''
05-2008,264,123,'',''
05-2008,271,123,'',''
05-2008,40764,123,'',''
05-2008,53,123,'',''
05-2008,66,123,'',''
05-2008,72,123,'',''
05-2008,94,123,'',''
05-2008,1,122,"Adverse weather, limited supplies and high food prices",''
05-2008,130,122,Insufficient rainfall,''
05-2008,238,122,Insufficient rainfall,''
05-2008,239,122,Adverse weather,''
05-2008,250,122,Adverse weather,''
05-2008,117,122,"Rainfall deficit, limited snowmelt",''
05-2008,118,123,'',''
06-2008,1,122,"Adverse weather, limited supplies and high food prices",''
06-2008,105,123,'',''
06-2008,106,123,'',''
06-2008,108,123,'',''
06-2008,116,123,'',''
06-2008,117,122,"Rainfall deficit, limited snowmelt",''
06-2008,118,123,'',''
06-2008,130,122,Insufficient rainfall,''
06-2008,133,122,Insufficient rainfall,''
06-2008,142,123,'',''
06-2008,144,123,'',''
06-2008,159,123,'',''
06-2008,165,123,'',''
06-2008,171,123,'',''
06-2008,175,123,'',''
06-2008,180,123,'',''
06-2008,204,123,'',''
06-2008,221,123,'',''
06-2008,226,122,"Adverse weather, conflicts",''
06-2008,23,123,'',''
06-2008,231,123,'',''
06-2008,235,123,'',''
06-2008,238,122,Insufficient rainfall,''
06-2008,239,122,Adverse weather,''
06-2008,242,123,'',''
06-2008,248,122,Insufficient rainfall,''
06-2008,250,122,Adverse weather,''
06-2008,253,123,'',''
06-2008,264,123,'',''
06-2008,271,123,'',''
06-2008,33,123,'',''
06-2008,40764,123,'',''
06-2008,43,123,'',''
06-2008,49,123,'',''
06-2008,50,123,'',''
06-2008,53,123,'',''
06-2008,59,123,'',''
06-2008,66,123,'',''
06-2008,67,123,'',''
06-2008,68,123,'',''
06-2008,72,123,'',''
06-2008,73,123,'',''
06-2008,77,123,'',''
06-2008,79,122,Insufficient rainfall ,''
06-2008,94,123,'',''
07-2008,1,122,"Adverse weather, limited supplies and high food prices",''
07-2008,105,123,'',''
07-2008,116,123,'',''
07-2008,117,122,"Rainfall deficit, limited snowmelt",''
07-2008,130,122,Insufficient rainfall,''
07-2008,144,123,'',''
07-2008,159,123,'',''
07-2008,165,123,'',''
07-2008,171,123,'',''
07-2008,204,123,'',''
07-2008,221,123,'',''
07-2008,226,122,"Adverse weather, conflicts",''
07-2008,238,122,Insufficient rainfall,''
07-2008,239,122,Adverse weather,''
07-2008,248,122,Insufficient rainfall,''
07-2008,250,122,Adverse weather,''
07-2008,253,123,'',''
07-2008,264,123,'',''
07-2008,43,123,'',''
07-2008,49,123,'',''
07-2008,50,123,'',''
07-2008,53,123,'',''
07-2008,59,123,'',''
07-2008,66,123,'',''
07-2008,67,123,'',''
07-2008,68,123,'',''
07-2008,72,123,'',''
07-2008,77,123,'',''
07-2008,79,122,Insufficient rainfall ,''
07-2008,94,123,'',''
07-2008,106,123,'',''
07-2008,118,122,Generalized insufficient rainfall,''
07-2008,133,122,"Insufficient rainfall, crop diseases",''
07-2008,142,123,'',''
07-2008,175,123,'',''
07-2008,180,123,'',''
07-2008,231,123,'',''
07-2008,242,123,'',''
07-2008,108,123,'',''
07-2008,196,123,'',''
07-2008,23,123,'',''
07-2008,235,123,'',''
07-2008,271,123,'',''
07-2008,33,123,'',''
07-2008,40764,123,'',''
07-2008,73,123,'',''
08-2008,1,122,"Adverse weather, limited supplies and high food prices",''
08-2008,105,123,'',''
08-2008,106,123,'',''
08-2008,108,123,'',''
08-2008,116,123,'',''
08-2008,117,122,"Rainfall deficit, limited snowmelt",''
08-2008,118,122,Generalized insufficient rainfall,''
08-2008,130,122,Insufficient rainfall,''
08-2008,133,122,"Insufficient rainfall, crop diseases",''
08-2008,142,123,'',''
08-2008,144,123,'',''
08-2008,159,123,'',''
08-2008,171,123,'',''
08-2008,175,123,'',''
08-2008,180,123,'',''
08-2008,196,123,'',''
08-2008,204,123,'',''
08-2008,221,123,'',''
08-2008,226,122,"Adverse weather, conflicts",''
08-2008,23,123,'',''
08-2008,231,123,'',''
08-2008,235,123,'',''
08-2008,238,122,Insufficient rainfall,''
08-2008,239,122,Adverse weather,''
08-2008,242,123,'',''
08-2008,248,122,Insufficient rainfall,''
08-2008,250,122,Adverse weather,''
08-2008,253,123,'',''
08-2008,264,123,'',''
08-2008,271,123,'',''
08-2008,33,123,'',''
08-2008,40764,123,'',''
08-2008,43,123,'',''
08-2008,49,123,'',''
08-2008,50,123,'',''
08-2008,53,123,'',''
08-2008,59,123,'',''
08-2008,66,123,'',''
08-2008,67,123,'',''
08-2008,68,123,'',''
08-2008,72,123,'',''
08-2008,73,123,'',''
08-2008,77,123,'',''
08-2008,79,122,Insufficient rainfall ,''
08-2008,94,123,'',''
08-2008,165,123,'',''
09-2008,1,122,"Adverse weather, limited supplies and high food prices",''
09-2008,105,123,'',''
09-2008,106,123,'',''
09-2008,108,123,'',''
09-2008,116,123,'',''
09-2008,117,122,"Rainfall deficit, limited snowmelt",''
09-2008,118,122,Generalized insufficient rainfall,''
09-2008,130,122,Insufficient rainfall,''
09-2008,133,122,"Insufficient rainfall, crop diseases",''
09-2008,142,123,'',''
09-2008,144,123,'',''
09-2008,159,123,'',''
09-2008,165,123,'',''
09-2008,171,123,'',''
09-2008,175,123,'',''
09-2008,180,123,'',''
09-2008,196,123,'',''
09-2008,204,123,'',''
09-2008,221,123,'',''
09-2008,226,122,"Adverse weather, conflicts",''
09-2008,23,123,'',''
09-2008,231,123,'',''
09-2008,235,123,'',''
09-2008,238,122,Insufficient rainfall,''
09-2008,239,122,Adverse weather,''
09-2008,242,123,'',''
09-2008,248,122,Insufficient rainfall,''
09-2008,250,122,Adverse weather,''
09-2008,253,123,'',''
09-2008,264,123,'',''
09-2008,271,123,'',''
09-2008,33,123,'',''
09-2008,40764,123,'',''
09-2008,43,123,'',''
09-2008,49,123,'',''
09-2008,50,123,'',''
09-2008,53,123,'',''
09-2008,59,123,'',''
09-2008,66,123,'',''
09-2008,67,123,'',''
09-2008,68,123,'',''
09-2008,72,123,'',''
09-2008,73,123,'',''
09-2008,77,123,'',''
09-2008,79,122,Insufficient rainfall ,''
09-2008,94,123,'',''
10-2008,1,122,"Adverse weather, limited supplies and high food prices",''
10-2008,105,123,'',''
10-2008,106,123,'',''
10-2008,116,123,'',''
10-2008,118,122,Generalized insufficient rainfall,''
10-2008,130,122,Insufficient rainfall,''
10-2008,133,122,"Insufficient rainfall, crop diseases",''
10-2008,142,123,'',''
10-2008,144,123,'',''
10-2008,159,123,'',''
10-2008,165,123,'',''
10-2008,171,123,'',''
10-2008,180,123,'',''
10-2008,204,123,'',''
10-2008,221,123,'',''
10-2008,231,123,'',''
10-2008,235,123,'',''
10-2008,238,122,Insufficient rainfall,''
10-2008,239,122,Adverse weather,''
10-2008,242,123,'',''
10-2008,248,122,Insufficient rainfall,''
10-2008,250,122,Adverse weather,''
10-2008,264,123,'',''
10-2008,271,123,'',''
10-2008,33,123,'',''
10-2008,43,123,'',''
10-2008,49,123,'',''
10-2008,50,123,'',''
10-2008,53,123,'',''
10-2008,59,123,'',''
10-2008,66,123,'',''
10-2008,67,123,'',''
10-2008,68,123,'',''
10-2008,72,123,'',''
10-2008,73,123,'',''
10-2008,77,123,'',''
10-2008,94,123,'',''
10-2008,108,122,Adverse weather,''
10-2008,117,123,'',''
10-2008,175,123,'',''
10-2008,196,123,'',''
10-2008,226,122,"Adverse weather, conflicts",''
10-2008,23,123,'',''
10-2008,253,123,'',''
10-2008,40764,123,'',''
10-2008,63,123,'',''
10-2008,79,122,Insufficient rainfall in parts,''
11-2008,1,122,"Adverse weather, limited supplies and high food prices",''
11-2008,105,123,'',''
11-2008,106,123,'',''
11-2008,108,122,Adverse weather,''
11-2008,116,123,'',''
11-2008,117,123,'',''
11-2008,118,122,Generalized insufficient rainfall,''
11-2008,130,122,Insufficient rainfall,''
11-2008,133,122,"Insufficient rainfall, crop diseases",''
11-2008,142,123,"""",''
11-2008,144,123,"""",''
11-2008,159,123,"""",''
11-2008,165,123,"""",''
11-2008,171,123,"""",''
11-2008,175,123,"""",''
11-2008,180,123,"""",''
11-2008,196,123,"""",''
11-2008,204,123,"""",''
11-2008,221,123,"""",''
11-2008,226,122,"Adverse weather, conflicts",''
11-2008,23,123,'',''
11-2008,231,123,'',''
11-2008,235,123,'',''
11-2008,238,122,Insufficient rainfall,''
11-2008,239,122,Adverse weather,''
11-2008,242,123,'',''
11-2008,248,122,Insufficient rainfall,''
11-2008,250,122,Adverse weather,''
11-2008,253,123,'',''
11-2008,264,123,'',''
11-2008,271,123,'',''
11-2008,33,123,'',''
11-2008,40764,123,'',''
11-2008,43,123,'',''
11-2008,49,123,'',''
11-2008,50,123,'',''
11-2008,53,123,'',''
11-2008,59,123,'',''
11-2008,63,123,'',''
11-2008,66,123,'',''
11-2008,67,123,'',''
11-2008,68,123,'',''
11-2008,72,123,'',''
11-2008,73,123,'',''
11-2008,77,123,'',''
11-2008,79,122,Insufficient rainfall in parts,''
11-2008,94,123,'',''
12-2008,1,122,"Adverse weather, limited supplies and high food prices",121
12-2008,105,123,"""",""""
12-2008,106,123,"""",""""
12-2008,116,123,"""",""""
12-2008,117,123,"""",""""
12-2008,118,123,"""",""""
12-2008,133,123,"""",""""
12-2008,142,123,"""",""""
12-2008,144,123,"""",""""
12-2008,159,123,"""",""""
12-2008,165,123,"""",""""
12-2008,175,123,"""",""""
12-2008,180,123,"""",""""
12-2008,204,123,"""",""""
12-2008,221,123,"""",""""
12-2008,23,123,"""",""""
12-2008,231,123,"""",""""
12-2008,235,123,"""",""""
12-2008,239,122,Adverse weather,121
12-2008,248,122,Insufficient rainfall,121
12-2008,250,122,Adverse weather,121
12-2008,253,123,'',''
12-2008,264,123,'',''
12-2008,271,123,'',''
12-2008,40764,123,'',''
12-2008,43,123,'',''
12-2008,49,123,'',''
12-2008,50,123,'',''
12-2008,59,123,'',''
12-2008,66,123,'',''
12-2008,67,123,'',''
12-2008,68,123,'',''
12-2008,72,123,'',''
12-2008,73,123,'',''
12-2008,77,123,'',''
12-2008,79,122,Insufficient rainfall in parts,121
12-2008,108,122,Adverse weather,119
12-2008,12,122,Insufficient rainfall,119
12-2008,130,123,'',''
12-2008,171,123,'',''
12-2008,196,123,'',''
12-2008,226,123,'',''
12-2008,238,123,'',''
12-2008,242,123,'',''
12-2008,33,123,'',''
12-2008,53,123,'',''
12-2008,63,122,Adverse weather,119
12-2008,94,123,'',''
01-2009,1,122,"Adverse weather, limited supplies and high food prices",121
01-2009,105,123,'',''
01-2009,106,123,'',''
01-2009,108,122,Adverse weather,119
01-2009,116,123,'',''
01-2009,117,123,'',''
01-2009,118,123,'',''
01-2009,12,122,Insufficient rainfall,119
01-2009,130,123,'',''
01-2009,133,123,'',''
01-2009,142,123,'',''
01-2009,144,123,'',''
01-2009,159,123,'',''
01-2009,165,123,'',''
01-2009,171,123,'',''
01-2009,175,123,'',''
01-2009,180,123,'',''
01-2009,196,123,'',''
01-2009,204,123,'',''
01-2009,221,123,'',''
01-2009,226,123,'',''
01-2009,23,123,'',''
01-2009,231,123,'',''
01-2009,235,123,'',''
01-2009,238,123,'',''
01-2009,239,122,Adverse weather,121
01-2009,242,123,'',''
01-2009,248,122,Insufficient rainfall,121
01-2009,250,122,Adverse weather,121
01-2009,253,123,'',''
01-2009,264,123,'',''
01-2009,271,123,'',''
01-2009,33,123,'',''
01-2009,40764,123,'',''
01-2009,43,123,'',''
01-2009,49,123,'',''
01-2009,50,123,'',''
01-2009,53,123,'',''
01-2009,59,123,'',''
01-2009,63,122,Adverse weather,119
01-2009,66,123,'',''
01-2009,67,123,'',''
01-2009,68,123,'',''
01-2009,72,123,'',''
01-2009,73,123,'',''
01-2009,77,123,'',''
01-2009,79,122,Insufficient rainfall in parts,121
01-2009,94,123,'',''
02-2009,1,122,"Adverse weather, limited supplies and high food prices",121
02-2009,12,122,Insufficient rainfall,119
02-2009,133,122,Insufficient rainfall in parts,122
02-2009,144,122,Pests,122
02-2009,226,122,Insufficient rainfall in parts,122
02-2009,239,122,Adverse weather,121
02-2009,248,122,Insufficient rainfall,121
02-2009,261,122,Adverse weather,121
02-2009,271,122,Economic constraints,122
02-2009,53,122,Localized drought (northern and western parts),122
03-2009,1,122,"Adverse weather, limited supplies and high food prices",121
03-2009,12,122,Insufficient rainfall,119
03-2009,133,122,Insufficient rainfall in parts,122
03-2009,144,122,Pests,122
03-2009,226,122,Insufficient rainfall in parts,122
03-2009,239,122,Adverse weather,121
03-2009,248,122,Insufficient rainfall,121
03-2009,261,122,Adverse weather,121
03-2009,271,122,Economic constraints,122
03-2009,53,122,Localized drought (northern and western parts),122
